"Item","Name","Yield","Lov","Cost","Stock","Units","Mash","Descr","Steep","IBU"
144,"Wheat (Flaked)",1.034,2,0.9,,"lb","True","Wheat (Flaked)","False",
145,"Wheat (Torrified)",1.034,2,1,,"lb","True","Like flaked wheat, but with a nuttier taste.","False",
146,"Wheat Malt",1.039,1.7,0.47,45,"lb","True","Wheat Malt: Use to make wheat and weizen beers. Also, small amounts (3-6%) aid in head retention to any beer without altering final flavor. Use 5 to 70% in the mash, 40 to 70% being the norm for wheat beers, combined with a high enzyme malt such as Klages.","False",
147,"Wheat Syrup",1.046,2.7,0.9,,"lb","False","Wheat Syrup","True",
148,"Marris Otter",1.036,3,0.9,,"lb","True","The classic British ale malt, prized by the finest brewers in Britain. Made from fully modified two-row winter Maris Otter. This malt has a wide optimum temperature and pH range, making it very forgiving in the brewery and popular with small-scale brewers. Very low protein (9.5%), high flavour malt, perfect for lower gravity Bitters ","False",
149,"Crystal 5",1.029,5,0,,"lb","False","","False",
150,"Crystal 200",1.029,200,0,,"lb","False","","False",
151,"German CaraRed",1.034,20,0.9,,"lb","True","","True",
152,"CaraFoam",1.033,3,0.9,,"lb","True","Best used to create Pilseners, lagers, and low- or nonalcoholic beers. Increases smoothness and mouth fullness, without adding flavours. Try Carafoam instead of Carapils. ","True",
153,"Extra-lite DME",1,0,0,,"lb","False","","False",
154,"Wheat DME",1.046,2.7,0,,"lb","False","","True",
155,"Flaked Barley",1.032,0,0,,"lb","True","","False",
156,"Rice Solids (powder)",1.042,0,0.9,,"lb","False","","True",
157,"Brewhouse Pale Ale kit",1.009,2.55,0.6,1,"lb","False","Although there are many different examples of this beer style, our take is modeled after 'West Coast' Pale Ale - with emphasis on crisp, clean flavours and plenty of robust Cascade hop character and aroma.  Pale AleColour - amber(Deg.Lovibond) - 14.0Bitterness - 30 IBUO.G. 1.050 Malts - Crystal 70L and Honey Malt.Hops - Northern Brewer (bittering)Cascade (aroma) ","True",25
158,"Brewhouse Dark Lager kit",1.01,4.5,0.6,,"lb","False","This beer just has a lot going on. Its full flavour, rich malty sweetness, pleasant hop bit - from traditional German hops - and smooth, clean finish, all combine to make this beer of choice for brewers who want to get the most from their efforts. Colour - dark brown(Deg.Lovibond) - 25.0Bitterness - 20 IBUO.G. 1.055 Malts - Munich malt, Crystal 120LWheat and ChocolateHops - Perle (bittering and aroma)","True",20
159,"Brewhouse Stout kit",1.008,15,0.6,,"lb","False","Brewed since at least 1820, stout is Ireland's gift to beer lovers. Ours is dark and rich, with a bold roasted flavour, a hint of chocolate and an espresso-like finish. So smooth, you'd enjoy having more than one. Colour - blackBitterness - 30 IBUO.G. 1.044 Malts - Pale, roasted barley, flaked barleyHops - Northern Brewer","True",30
160,"Brewhouse Pilsner kit",1.0095,1.1,0.6,,"lb","False","Modeled after both Czech and German Pilsner, this beer occupies the middle ground stylistically. It is flavourful and malty, but clean, with a generous hop character both up front, and in the long, smooth finish.  PilsnerColour - pale to golden(Deg.Lovibond) - 6.0Bitterness - 35 IBUO.G. 1.050 - 1.052Malts - Cara-PilsHops -Tettnang (mid boil)Hallertau and Saaz (aroma) ","True",35
161,"Brewhouse Prem Lager kit",1.008,0.55,0.6,,"lb","False","This is an opportunity for homebrewers to reproduce the most popular beer style in North America. Its light colour, high attenuation and subtle use of hops combine to make this beer an excellent example of what has been an overlooked style by homebrewers - until now.  American Premium LagerColour - straw, golden(Deg.Lovibond) - 3.0Bitterness - 10 IBUO.G. 1.044Malts - Flaked Rice.Hops - Centennial (bittering and aroma) ","True",10
162,"Brewhouse Cream Ale kit",1.008,2.2,0.6,,"lb","False","15 litre kit = 33 lbs.A west coast style Cream Ale with the perfect balance of malt sweetness and hop  character. A great introduction into the world of richly complex beers, without the heaviness of darker beer. Colour - copper (Deg.Lovibond) - 10-12Bitterness - 22 IBUO.G. 1.044Malts - Canadian 2 row pale malt and crystal maltHops - Northern Brewer( bitterness)Goldings( aroma) ","True",22
163,"Brewhouse IPA kit",1.01,2.55,0.6,,"lb","False","Due to popular demand, we have introduced our India Pale Ale into our regular line of kits!!  India Pale AleColour - (Deg.Lovibond) - 14Bitterness - 50 IBUO.G. 1.051-1.053Malts - Munich, Pale 2 Row,Cara-pils, CarastanHops - Centennial- Bittering, Goldings- Aroma ","True",50
164,"Munton's Pale Malt",1.038,2.5,0,,"lb","True","","False",
165,"White Cane Sugar (Gran)",1.042,0,0,,"lb","False","","False",
166,"Young's Lager Malt",1.038,1.4,0,,"lb","False","","False",
167,"British Crystal 65L",1.034,65,0,,"lb","False","British Crystal 65L","False",
168,"Rye Malt",1.03,4,0,,"lb","True","Malted Rye","False",
169,"German Cara-Aroma",1.035,130,0,,"lb","False","","False",
170,"Crystal Light  Hugh Baird",1.035,34,0,,"lb","False","British Carastan: Also known as CaraStan, use 5 to 20% of English Crystal to add color and a full, toffee/sweet flavor to Bitters, Pale Ales and Porters.","False",
171,"Pale Ale - Hugh Baird",1.036,3,0,,"lb","False","Pale Ale: Produces a smooth, grainy flavor.  Use in your German Lagers and Alt Beers.","False",
