"Item","Name","Category","Cat_Num","OG_Low","OG_High","Alc_Low","Alc_High","IBU_Low","IBU_High","Lov_Low","Lov_High","Comm_Examples","Descr"
47,"Northern German Altbier","Koelsch & Altbier","8C",1.04,1.055,5,5.5,25,40,11,19,"DAB DARK, GROLSCH AUTUMN AMBER, ST. STAN'S ALT","Similar in appearance but lighter in character and less bitter than Dusseldorf altbiers, though bitterness is still in the medium range. Most alts produced outside of Dusseldorf are of this style.  "
48,"Oatmeal Stout","Stout","16C",1.035,1.06,3.3,6,20,50,35,99,"Young's Oatmeal Stout, Lacto Milk Stout, Barney Flats Oatmeal Stout, Samuel Smith's Oatmeal Stout","This beer is a variation of the sweet stout but has oatmeal added to increase the fullness of body and flavor and to make a more ""nutritious"" Stout. The result of this mixture is often described as firm, smooth, silky body, and a hint of nuttiness in their complex of coffee, chocolate and roast flavors. Because oats gelatinize at low temperatures, they can make mashing difficult. Hop bitterness is low. No hop flavor or aroma. Medium to full body. There may be low diacetyl detected. Sweet maltiness and caramel flavors should be evident. The color is black opaque.  "
49,"Old Ale","English & Scottish Strong Ale","11A",1.06,1.09,6,9,30,60,12,16,"Theakston Old Peculier, Young's Winter Warmer, Marston Owd Roger.","In the British style, an ale of high alcoholic strength, generally not as strong or rich as a barleywine (though there are exceptions). Most feature malty and fruity flavors and aromas although the finish may be dry. Long term aging in the bottle may give old ales oxidative flavors like a fine old port or Madeira wine. Medium to full bodied, medium amber to very dark red-amber.  "
50,"Ordinary Bitter","Bitter & English Pale Ale","4A",1.03,1.038,3,3.8,20,40,6,14,"BODDINGTON'S PUB ALE.","Originally a draft ale served very fresh under low pressure and at cool temperatures. Medium gold to medium copper-brown. Low gravity, low alcohol levels, and low carbonation make this an easy drinking beer. The body of this beer tends to be thin, even watery. Medium to high bitterness tends to dominate over the malt character, which is usually low. May or may not have hop flavor, aroma, diacetyl, and fruitiness.  "
51,"Robust Porter","Porter","15A",1.05,1.065,4.8,6,25,45,30,99,"Anchor Porter, Sierra Nevada Porter, Black Hook Porter","A medium to full body in a balanced beer that has a noticeably coffee-like dryness, and may have a malty sweet flavor that comes through in the finish. Chocolate and black malts add a sharp bitterness, but do so without adding roasted or charcoal notes. There can be a little roast barley character or none at all. Hop bitterness is medium to high. Hop flavor and aroma is none to medium. Fruitiness, esters and low diacetyl are OK. The color is deep brown with red hues to black. Some versions are made with lager yeast. "
52,"Russian Imperial Stout","Barleywine & Imperial Stout","12C",1.075,1.095,8,12,50,90,20,40,"Samuel Smith Imperial Stout, Courage Imperial Stout, Brooklyn Black Chocolate Stout, Rogue Imperial Stout, North Coast Old Rasputin Imperial Stout, Victory Storm King.","An intensely flavorful beer. Roasty, fruity, and bittersweet, with a notable alcohol presence. Dark fruit melds with roasty, burnt, almost tar-like sensations.Said to be popular with the Russian Imperial Court.Brewed to high gravity and hopping level in England for export to the Baltic States and Russia. "
53,"Saison","Belgian & French Ale","19D",1.055,1.08,4.5,8.1,20,45,6,12,"Saison Dupont, Saison Silly, Saison Enghien, Saison Regal, Saison de Pipaix, Saison 1900","Brewed in France and Belgium during the spring for the summer. It is often only 50% attenuated (fermented). Fermentation is inhibited by the use of multiple strains of yeast that work quickly but not thoroughly. Hard water may have helped provide the body, mouth-feel and extraction of flavors from the grains. Brewed predominantly from pale malt, gaining color through a lengthy boil. Sometimes a small portion of spelt (a variety of wheat) , or raw oats or raw rice was used. Fruity with a pungent sourness and hop aroma, they are often dry-hopped. Low malt aroma. The style is crisp, tart, and refreshing. Distinctively bitter but not assertive. Bottled-conditioned with additional yeast added to the bottle. The profile includes a thick, dense, rocky head on a fairly well-carbonated beer with a palate of some tart, citric notes. Light to medium body. Slight acidity and low diacetyl are OK. "
54,"Specialty, Experimental, Historical","Specialty, Experimental, Hist","24",1,1.11,2.5,12.1,5,80,0,80,"",""
55,"Schwarzbier","European Dark Lager","13B",1.044,1.054,4.2,5.4,25,35,20,40,"Kulmbacher Moenchschof Kloster Schwarz-Bier, Ur-Koestritzer Schwarzbier.","A lager that uses judicious amounts of roasted malts for color and dryness, but not enough to impart a burnt flavor. Moderate bitterness from hops and roasted malt with a distinctive dry bitter-chocolate palate. Medium body with a malty aroma and low sweetness in aroma and flavor. Dark brown to black in color.  "
56,"Southern Brown","Brown Ale","10C",1.04,1.05,3.5,5,15,24,20,35,"Mann's Brown Ale, Oregon Nut Brown Ale.","Thought by some to be the bottled equivalent of Mild. Dark brown and almost opaque; decidedly sweet from the use of caramel malts. A low gravity, low alcohol beer. "
57,"Spice / Herb / Veg Beer","Spice / Herb / Veg Beer","22",1.03,1.11,2.5,12.1,5,70,5,50,"Harpoon Winter Warmer, Ed's Cave Creek Chili Beer, Buffalo Bill's Pumpkin Ale, Anchor Our Special Ale, Wild Onion Pumpkin Ale.","Aroma: The character of the particular spices, herbs and/or vegetables (SHV) should be distinctive in the aroma.  Overall the aroma should be a balanced combination of malt, hops and the featured SHV(s) as appropriate to the specific type of beer being presented.  If the base beer is an ale then general fruitiness and other fermentation byproducts such as diacetyl may be present as appropriate for the warmer fermentation.  If the base beer is a lager, then overall less fermentation byproducts would be appropriate.  Some malt aroma preferable, especially in dark styles; hop aroma absent or balanced with the SHVs used, depending on style.  The overall aroma should be balanced and harmonious.Appearance: Appearance should be appropriate to the base beer being presented and will vary depending on the base beer.  For lighter beers with spices, herbs or vegetables that exhibit distinctive colors, the colors should be noticeable.Flavor: The character of the particular SHV(s) should be distinctive in the flavor profile.  Hop bitterness, flavor, malt flavors, alcohol content, and fermentation byproducts, such as diacetyl, should be appropriate to the base beer  and harmonious and balanced with the distinctive SHV flavors present.  Mouthfeel: Mouthfeel may vary depending on the base beer selected and as appropriate to that base beer.  Body and carbonation levels should be appropriate to the base beer style being presented.Overall Impression: A harmonious marriage of spices, herbs and/or vegetables and beer.Comments: Overall balance is the key to presenting a well-made spice, herb or vegetable (SHV) beer.  The SHV should complement the original style and not overwhelm it.  The brewer should recognize that some combinations of base beer styles and SHVs work well together while others do not make for harmonious combinations.  The entrant must specify the underlying beer style as well as the type of SHV(s) used.  If the base beer is a classic style, the original style should come through in aroma and flavor. Additionally, whenever multiple spices, herbs or vegetables are used each should be distinctive in their own way."
58,"American Amber Ale","American Pale Ale","6B",1.045,1.056,4.5,5.7,20,40,11,18,"Big Time Atlas Amber, Bell's Amber, Mendocino Red Tail Ale, Rhino Chaser's American Amber Ale, St. Rogue Red Ale, North Coast Red Seal Ale","Aroma: Often a mild to strong hop aroma from dry hopping or late kettle additions of American hop varieties.  Some caramel aroma common. Esters vary from low to high.  Diacetyl medium-high to none.Appearance: Light copper to light brown.  Flavor: Moderate to high hop flavor from American hop varieties. Malt/bitterness balance can be on either side of even and is more likely to be on the malt side, but usually not too far from center.  Caramel flavor is moderate to strong.  Diacetyl medium-high to none.Mouthfeel: Body is medium to medium-full.  Carbonation typically moderate.Overall Impression: Caramel usually balances the bitterness.History: Called West Coast amber ales by some authors, this sub-category was spun-off from the American pale ale style.  Comments: In the past, this category used to be part of American pale ale. American amber ales differ from American pale ales not only by being darker in color, but also in having more caramel flavor and usually being balanced more evenly even between malt and bitterness.Ingredients: Pale ale malt, typically American two-row.  Medium to dark crystal malts.  American hops, such as Cascade, Centennial, Brewer's Gold, Columbus and Willamette, but others may also be used. Water can vary in sulfate and carbonate content."
59,"Belgian Strong Dark Ale","Strong Belgian Ale","18D",1.065,1.098,7,12,25,49,7,20,"Pawel Kwak, Bush (Scaldis), Liefmans Goudenband, Gouden Carolus","There are many variations of this Belgian style which is characterized by full body and a deep burgundy to dark brown color. Rich, creamy, and usually sweet, these ales are malty but some examples do have high hop bitterness. Colored with candy sugar and not so much dark malt. Low hop flavor and aroma. "
60,"Belgian Strong Golden Ale","Strong Belgian Ale","18C",1.065,1.08,7,9,25,35,3.5,5.5,"Duvel, Lucifer, Teutenbier, Deugniet, Sloeber, Judas","References to the devil are often a trademark of these beers. These beers are pale to golden in color. The light color and relatively light body for a beer of this OG are the results of very pale malt and judicious additions of refined candi sugar. Full of fruity, hoppy, alcoholic complexity. Can be vinous. Low hop flavor and aroma. Top-fermented and cold-conditioned. Usually very effervescent.  "
61,"Strong Scotch Ale","English & Scottish Strong Ale","11B",1.072,1.088,6.9,8.5,20,40,10,47,"Traquair House, MacAndrew's Scotch Ale, McEwan's Scotch Ale, Belhaven Wee Heavy, Scotch du Silly, Vermont Pub and Brewery Wee Heavy.","Rich beers with a very full-bodied, malty character with some kettle caramelization. A buttery flavor may also be present. Low hopping, but enough to balance the intense maltiness. Slight roasted malt qualities may be provided by the limited use of dark roasted malt or roasted barley.  "
62,"Sweet Stout","Stout","16B",1.035,1.066,3,5.6,20,40,35,99,"Mackeson XXX Stout, Sweetheart Stout, Watneys Cream Stout, Samuel Adams Cream Stout","The English version of Stout. Usually possessing a unique chocolate-caramel malt flavor. The overall character is sweet. Lacks most of the roasted barley character and hop bitterness which is on the low end. The flavor is derived from the use of chocolate malt and milk sugar (lactose). Lactose is unfermentable and hence adds sweetness to the beer. No hop flavor or aroma. Medium to full body. There may be low diacetyl detected. Sweet maltiness and caramel flavors should be evident. The color is black opaque. Often called ""Farm Stout"", ""Milk Stout"" and ""Cream Stout"". Most Sweet Stouts are low in alcohol, containing 3 to 3.5 percent alcohol by volume. "
63,"Traditional Bock","Bock","14A",1.064,1.072,6,7.5,20,35,14,30,"Aass Bock, Hacker-Pschorr Dunkeler Bock, Dunkel Ritter Bock, Einbecker Ur-Bock.","A very strong lager originally from Einbeck, Germany. Strong in alcohol with a clean, smooth, malty-sweet character. The idea is to balance the big, warming, alcohol with a quenching touch. It is the water and the malt that give this style some special characteristics. The Bock beer is medium to full bodied with a malty sweetness in aroma and flavor that can include some toasted chocolate-like undertones. The dark flavors of chocolate and black malt is not appropriate for Bocks. They get their color and flavor from dark Munich malts. It is traditionally dark amber to dark brown and uses just enough ""noble-type"" hop flavor (low) to balance the malt. Bitterness is low. There is no fruitiness or esters and there should not be any diacetyl. No hop aroma. Until recently, German law stated that all Bocks had to have an original gravity of at least 16 Plato (1.064). "
64,"Tripel","Strong Belgian Ale","18B",1.065,1.095,6.3,10,20,35,3.5,6,"Grimbergen Tripel, Mateen, Affligem Tripel, Westmalle Tripel, Rochefort 10, La Trappe Tripel, La Trappe Quadrupel, Westvleteren 8 Extra, Westvleteren 12 Abbot","A paler and stronger ale, brewed from pale Pilsner malts with candy sugar added to boost the O.G.. Complex aroma and palate with delicately light aromatic hop characteristics, light malt aroma and a light citric fruitiness. Medium- to full-bodied. Neutral hop/malt balance in the flavor, each being low to medium. Finish may be sweet. As with doubles, aromas and flavors are derived from unique yeast strains and small amounts of spice are sometimes added. Deep gold to brown. Alcoholic, but best examples do not taste strongly of alcohol. Spicy, phenolic-clove, banana flavors, esters are OK. "
65,"Vienna","German Amber Lager","9B",1.046,1.052,4.6,5.5,18,30,8,12,"DOS EQUIS AMBER, NEGRA MODELO","The original amber lager, reminiscent of an Oktoberfest but with a less robust sweet malt character. Vienna malt provides the dominant toasty flavor and aroma. Palate has low sweetness but finish is fairly dry, with low to medium bitterness. Very mild hop flavor and aroma from 'noble' hops puts the emphasis on malt. Light to medium bodied with a reddish-amber to brownish color.  "
66,"Weizenbock","Wheat Beer","17D",1.066,1.08,6.5,9.6,15,30,7,25,"Erdinger Pinkantus, Shneider Aventinius","A stronger and more robust version of Weizen. A medium- to full-bodied beer, it is made from 40-60% wheat, but the palate emphasis is on the high malt flavor. Hop bitterness is low to undetectable. No hop flavor or aroma, but the clove and banana flavor and aroma are still evident. Color can be from light amber to dark brown. Dark versions may have a mild toasted malt flavor and aroma. Alcoholic strength should be evident. Low diacetyl is OK. "
67,"Witbier","Belgian & French Ale","19B",1.042,1.055,4.2,5.5,15,22,2,4,"Hoegaarden Witbier, Celis White, Steendonk, Blanche de Namur, Titje, Wieckse Witte, Spring Street 1444 Wit","Aroma: A sweet and occasionally honey-like character with prominent citrus (notably orange), herbal and spice aromas is characteristic, and is often followed by a mild phenolic aroma.  Hop aroma is low to none.  No diacetyl.  Appearance: Very pale straw to very light gold in color, and generally cloudy.  Head retention should be quite good and of a moussy character.  Flavor: The flavor of unmalted wheat is typically noticeable. Coriander, citrus and mild phenolic flavors contribute to a complex and elegant character.  A very slight lactic acidity resulting from a limited Lactobacillus fermentation is present in some examples, providing a refreshing quality, and is absent in others.  Hop flavor is low to none.  Hop bitterness is typically restrained, and some bitterness may also be contributed by bitter orange peel.  No diacetyl.Mouthfeel: Light to medium body.  Effervescent character of high carbonation.  Refreshing acidity.  Overall Impression: A refreshing, elegant, complex, wheat-based ale. History: A 400-year-old beer style that died out in the 1950s, it was revived by Pierre Celis in the 1960s to steadily growing popularity thereafter.  Comments: The presence and degree of spicing and lactic sourness vary from one brand or brewery to another.  Ingredients: About 50% unmalted hard red winter wheat and 50% pale barley malt constitute the grist;  in some versions a small percentage of raw oats is used as well.  Spices of freshly-ground coriander and dried orange peel complement the sweet aroma and are quite characteristic; other spices may be used for complexity but are much less prominent.  Ale yeast prone to production of mild, clovey/spicey flavors are very characteristic.  In some instances a very limited Lactobacillus fermentation, or actual addition of lactic acid, is done.  "
68,"American-style Barleywine","Barleywine & Imperial Stout","12B",1.08,1.12,8,12,50,100,10,22,"Sierra Nevada Bigfoot, Rogue Old Crustacean, Victory Old Horizontal.","Aroma: Moderate to intense fruitiness; presence of hops (English varieties) may range from mild to assertive. A caramel-like aroma is often present.Appearance: Color may range from rich gold to very dark amber or even brown. Often has ruby highlights. May have low head retention.Flavor: Fruity, with a great intensity of malt. Hop bitterness may range from just enough for balance to a firm presence; balance therefore ranges from malty to bitter. Some oxidative flavors may be present, and alcohol should be evident.Mouthfeel: Full-bodied, with a slick, viscous texture.  Gentle smooth warmth from alcohol should be present.Overall Impression: The richest and strongest of the English Ales.History/Comments: Usually the strongest ale offered by a brewery, and often vintage-dated. Normally aged significantly prior to release. Often associated with the winter or holiday season.  Although a hoppy beer, the English Barleywine places less emphasis on hop character than the American Barleywine and features English hops."
69,"Traditional Mead","Mead","25A",1.07,1.12,7.5,15,0,0,1,16,"","Aroma: Honey aroma should dominate, which may be sweet and may express the aroma of flower nectar.  Aromas produced during fermentation, such as fruity esters and alcohol, may also be present.Appearance: Clarity may be good to brilliant.  Carbonated examples will show active evidence of dissolved gas but no head is expected.  Color may range from pale straw to deep amber.  Flavor: The flavor of honey should be featured and may include residual sweetness.  Any additives, such as acidity or tannin, should enhance the honey flavor and lend balance to the overall character of the mead. Mouthfeel: Smooth texture.  Most will be wine-like, with the warming presence of alcohol and sense of medium body.  Sensations of a cloying or astringent character should be avoided.Comments: A mead made primarily from honey, water and yeast.  Meads which feature the character of a blended honey or a blend of honeys.  For meads made from a single variety of money see below ""B, Varietal Honey Traditional Mead."" While some oxidation of mead is OK and can actually lend useful complexity to the mead, over oxidation as exhibited by sherry-like aroma and/or taste should be avoided.  Phenols produced by high temperature fermentation are also to be avoided.  Entrants must specify whether the entry is still or sparkling mead.  Entrants must also indicate whether the mead is dry, semi-sweet or sweet."
70,"Varietal Honey Traditional Mead","Mead","25B",1.07,1.12,7.5,15,0,0,1,16,"","Aroma: Honey aroma should dominate, which may be sweet and may express the aroma of flower nectar.  Aromas produced during fermentation, such as fruity esters and alcohol, may also be present.  The particular Varietal honey aroma (such as orange blossoms for orange blossom honey) should be evident.Appearance: Clarity may be good to brilliant.  Carbonated examples will show active evidence of dissolved gas but no head is expected.  Color may range from pale straw to deep amber. Flavor: The flavor of honey should be featured and may include residual sweetness.  The distinctive taste of the Varietal honey should be showcased. Any additives, such as acidity or tannin, should enhance the honey flavor and lend balance to the overall character of the mead.Mouthfeel: Smooth texture.  Most will be wine-like, with the warming presence of alcohol and sense of medium body.  Sensations of a cloying or astringent character should be avoided.Comments: Mead made from honey from a particular flower source.  The brewer must name the varietal honey. Note that the character of a varietal honey will be identifiable as distinct to the source, but may not resemble the source.  Orange-blossom honey has the character of orange blossoms, not oranges.  Blackberry honey is only distantly like blackberries, although it is an identifiable character. While some oxidation of mead is OK and can actually lend useful complexity to the mead, over oxidation as exhibited by sherry-like aroma and/or taste should be avoided.  Phenols produced by high temperature fermentation are also to be avoided.  Entrants must specify whether the entry is still or sparkling mead.  Entrants must also specify whether the entry is dry, semi-sweet or sweet.  "
71,"Cyser (Apple Melomel)","Mead","25C",1.07,1.12,7.5,15,0,0,1,16,"","A mead made with the addition of apples or apple juice. Traditionally, cysers are made by the addition of honey to apple juice without additional water.Aroma: Should have distinct apple character with a pronounced honey aroma, which may be sweet and may express the aroma of flower nectar. Aromas produced during fermentation, such as fruity esters, low levels of sulfur and alcohol, may also be present.Appearance: Clarity may be good to brilliant.  Carbonated examples will show active evidence of dissolved gas but no head is expected.  Color may range from pale straw to deep amber. Flavor: Should have distinct apple character but should also have a balanced honey character.  The Apple character may supply tart acidity to cut the honey sweetness, so one may notice tart acidity first and residual sweetness thereafter.  Any additives, such as acidity or tannin, should enhance the honey flavor and lend balance to the overall character of the cyser.  In well made examples of the style, the fruit is both distinctive and well-incorporated into the sugar-acid balance of the mead.  Some of the best examples have the taste and aroma of an aged Calvados (apple brandy from northern France).Mouthfeel: Smooth texture.  Most will be wine-like, with the warming presence of alcohol and sense of medium body.  Sensations of a cloying or astringent character should be avoided.Comments: There should be an appealing blend of the fruit and honey character but not necessarily an even balance.  Generally a good tannin-sweetness balance is desired, though very dry and very sweet examples do exist.  Entrants must specify whether the entry is still or sparkling cyser.  Entrants must also specify whether the entry is dry, semi-sweet or sweet."
72,"Pyment (Grape Melomel)","Mead","25D",1.07,1.12,7.5,15,0,0,1,16,"","A mead made with the addition of grapes or grape juice.  Alternatively, the pyment may be a grape wine sweetened with honey, a mixture of grape juice and honey that is fermented or a mixture of grape wine and mead mixed after fermentation. Aroma: Should have distinct grape or grape-wine character with a pronounced honey aroma, which may be sweet and may express the aroma of flower nectar.  Aromas produced during fermentation, such as fruity esters and alcohol, may also be present.Appearance: Clarity will be good to brilliant.  Carbonated examples will show active evidence of dissolved gas but no head is expected.  Color would reflect the grape source, whether white, red or other. Flavor: Should have distinct grape wine character, manifested in acidity, tannin and other grape characteristics, but the honey character should balance the fruit flavors.  Grassy white wine character or buttery(diacetyl) Chardonnay character is appropriate in pyment only.  In well made examples of the style, the fruit is both distinctive and well-incorporated into the sugar-acid balance of the pyment.Mouthfeel: Smooth texture.  Most will be wine-like, with the warming presence of alcohol and sense of medium body.  Sensations of a cloying or astringent character should be avoided.  Comments: There should be an appealing blend of the fruit and honey character but not necessarily an even balance. Generally a good tannin-sweetness balance is desired, though very dry and very sweet examples do exist.  Entrants must specify whether the entry is still or sparkling pyment.  Entrants must also specify whether the entry is dry, semi-sweet, or sweet."
73,"Other Fruit Melomel","Mead","25E",1.07,1.12,7.5,15,0,0,1,16,"","A mead made with the addition of other fruit or fruit juices. There should be an appealing blend of the fruit and honey character but not necessarily an even balance. Aroma: Should exhibit the aroma of the fruit(s) present in the mead. In a melomel with a blend of fruits, one fruit may dominate the aroma profile.Appearance: Clarity will be good to brilliant.  Carbonated examples will show active evidence of dissolved gas but no head is expected.  The particular fruit(s) used may or may not impart color to the mead.  Flavor: Fruit flavor contributions to the mead range from subtle acidic notes to intense, instantly recognizable fruit flavors.  In a melomel with a blend of fruits, one fruit may dominate the flavor profile. There should be a balanced honey character as well.  Some fruits will lend a cloying sweetness to the mead while others add a drying character.  In well- made examples of the style, the fruit is both distinctive and well-incorporated into the sugar-acid balance of the mead. Mouthfeel: Smooth texture.  Most will be wine-like, with the warming presence of alcohol and sense of medium body.  Sensations of a cloying or astringent character should be avoided.Comments: Generally a good tannin-sweetness balance is desired, though very dry and very sweet examples do exist.  Some fruits, notably darker ones like Blackberries, may contribute a tannin presence not unlike dark pyments.  Some oxidative properties may be appropriate in certain fruit meads, giving them a sherry or port wine character.  Entrants must specify whether the entry is still or sparkling mead.  Entrants must also specify whether the mead is dry, semi-sweet or sweet."
74,"Metheglin","Mead","25F",1.07,1.12,7.5,15,0,0,1,16,"","A mead made with the addition of spices or herbs. Aroma: The spices/herbs may be expressed in the aroma.  Honey characters should appear in the aroma but will vary in intensity depending on the spices/herbs used.  Metheglins containing more than one spice should have a good balance among the different spices/herbs, though some spices/herbs will tend to dominate the aroma profile.Appearance: Clarity may be good to brilliant.  Carbonated examples will show active evidence of dissolved gas but no head is expected.  Color may range from pale straw to deep amber; the color usually won't be affected by the spices or herbs. Flavor: The spices/herbs should be expressed in the flavor but the honey character is still the backbone of the mead and should appear in the flavor but will vary in intensity depending on the spices/herbs used.  The spices/herbs should be expressed in the flavor as a distinctive enhancement to the honey flavor, whether harmoniously or by contrast, and should achieve a pleasant balance when a blend of spices/herbs is used.  Metheglins containing more than one spice should have a good balance among the different spices/herbs, though some spices/herbs will tend to dominate the flavor profile.  Mouthfeel: Smooth texture.  Most will be wine-like, with the warming presence of alcohol and sense of medium body.  Sensations of a cloying or astringent character should be avoided; however,  some spices or herbs may affect mouthfeel particularly by adding astringency.Comments: Often, a blend of spices may give a character greater than the sum of its parts.  The better examples of this style use spices/herbs subtly and when more than one are used, they are carefully selected so that they blend harmoniously.  Entrants must specify whether the entry is still or sparkling mead.  Entrants must also specify whether the mead is dry, semi-sweet or sweet."
75,"Braggot","Mead","25G",1.06,1.12,6.5,14,0,50,3,16,"","Meads made with both honey and malt providing flavor and fermentable extract.  Originally, and alternatively, a mixture of mead and ale. Aroma: Aroma of both honey and malt should be apparent and in balance. Hop aroma may be present but is not required.Appearance: Straw to dark brown depending on the type of malt and honey used.  Some head retention is expected.  Clear, although some chill haze may be present at low temperatures.Flavor: There should be some balance between the beer aspect and the mead aspect of a braggot, especially with regard to maltiness and bitterness versus honey character.  Malt character ranges from light pale malt-type flavors to rich caramel flavors, depending on the malt used.  Hop bitterness and flavor may be present but are not required.Mouthfeel: Body may vary from light to medium.  Smooth mouthfeel without astringency.  Carbonation may vary from light to very lively.Comments: The fermentable sugars should come from a balance of malt and honey, otherwise the beverage might better be entered as a Specialty Beer with the addition of honey.  As a rule of thumb, the fermentables should consist of no less than 1/3 malt and no more than 2/3 honey.  Hopped examples of this style should exhibit the hops distinctly and should have at least 15 IBUs.  "
